SessionStart,CustomerID,FullName,Gender,Age,CreditScore,MonthlyIncome,Country,State,City,Category,Product,Cost,Price,Quantity,CampaignSchema ,CartAdditionTime,OrderConfirmation,OrderConfirmationTime,PaymentMethod,SessionEnd,OrderReturn,ReturnReason,SessionDuration,SessionYear,SessionMonth,SessionDay
2019-01-15 02:29:00,1012,Matthew Snyder,1,57,700,4148.0,2,13,Yantai,0,novel,10,18,3,Instagram-ads,2019-01-15 02:35:00,True,2019-01-15 02:46:00,2,2019-01-15 02:40:00,False,Unknown,11.0,2019,1,15
2019-01-16 06:42:00,1013,Jean Richardson,0,46,659,4287.0,5,5,Sagamihara,1,table fan,30,50,1,Billboard-QR code,2019-01-16 06:56:00,True,2019-01-16 07:09:00,1,2019-01-16 07:01:00,False,Unknown,19.0,2019,1,16
2019-01-16 18:37:00,1014,Karen Austin,1,18,629,4800.0,0,9,Wollongong,3,mixer grinder,60,90,2,Twitter-ads,2019-01-16 19:03:00,True,2019-01-16 19:15:00,0,2019-01-16 19:07:00,False,Unknown,30.0,2019,1,16
2019-01-18 13:25:00,1015,Jacob Taylor,0,22,735,4469.0,2,13,Yantai,2,jeans,40,70,1,Billboard-QR code,2019-01-18 13:48:00,True,2019-01-18 14:00:00,0,2019-01-18 13:51:00,True,Arrived Late,26.0,2019,1,18
2019-01-19 04:33:00,1016,Anna Orozco,0,58,632,7347.0,2,13,Qingdao,3,mixer grinder,60,90,6,E-mails,2019-01-19 04:57:00,False,,4,2019-01-19 05:06:00,Unknown,Unknown,33.0,2019,1,19
2019-01-20 02:15:00,1017,Michael Camacho,0,55,722,6449.0,2,4,Dongguan,3,electric stove,250,400,4,Facebook-ads,2019-01-20 02:45:00,True,2019-01-20 02:51:00,0,2019-01-20 02:48:00,False,Unknown,33.0,2019,1,20
2019-01-21 16:19:00,1018,Daniel Gordon,0,69,767,6956.0,3,8,Pune,0,novel,10,18,4,E-mails,2019-01-21 16:36:00,True,2019-01-21 16:51:00,1,2019-01-21 16:39:00,False,Unknown,20.0,2019,1,21
2019-01-22 21:04:00,1019,Jeffrey Burns,1,22,759,3895.0,4,7,Brescia,2,dress,50,80,6,E-mails,2019-01-22 21:11:00,True,2019-01-22 21:26:00,2,2019-01-22 21:13:00,False,Unknown,9.0,2019,1,22
2019-01-23 17:08:00,1020,Sarah Roman,1,36,709,4801.0,8,14,San Antonio,0,textbook,30,50,2,Facebook-ads,2019-01-23 17:15:00,True,2019-01-23 17:26:00,2,2019-01-23 17:19:00,False,Unknown,11.0,2019,1,23
2019-01-23 18:37:00,1021,Molly Villa,1,48,741,7507.0,4,6,Frosinone,2,t-shirt,15,25,5,Instagram-ads,2019-01-23 18:45:00,True,2019-01-23 18:56:00,1,2019-01-23 18:47:00,False,Unknown,10.0,2019,1,23
2019-01-24 00:09:00,1022,Carlos Dawson,1,26,692,6094.0,7,12,Edinburgh,0,autobiography,20,35,6,Facebook-ads,2019-01-24 00:34:00,False,,4,2019-01-24 00:18:00,Unknown,Unknown,9.0,2019,1,24
2019-01-27 15:00:00,1023,Gregory Reyes,1,64,625,7056.0,8,14,Dallas,2,t-shirt,15,25,2,Instagram-ads,2019-01-27 15:25:00,True,2019-01-27 15:34:00,2,2019-01-27 15:28:00,False,Unknown,28.0,2019,1,27
2019-01-29 01:19:00,1024,Andrea Faulkner,1,22,681,5478.0,2,4,Shenzhen,2,shoes,60,100,5,E-mails,2019-01-29 01:49:00,True,2019-01-29 01:56:00,2,2019-01-29 01:54:00,False,Unknown,35.0,2019,1,29
2019-01-30 13:56:00,1025,Jessica Stewart,0,69,640,3757.0,5,5,Kawasaki,4,action figure,8,15,5,Facebook-ads,2019-01-30 14:20:00,True,2019-01-30 14:25:00,2,2019-01-30 14:22:00,False,Unknown,26.0,2019,1,30
2019-02-02 01:10:00,1026,Shaun Jennings,1,32,693,4361.0,2,4,Shenzhen,0,textbook,30,50,6,Google-ads,2019-02-02 01:27:00,False,,4,2019-02-02 01:16:00,Unknown,Unknown,6.0,2019,2,2
2019-02-03 04:33:00,1027,Tonya Phillips,1,71,714,5622.0,2,4,Shenzhen,3,microwave oven,300,500,3,Instagram-ads,2019-02-03 04:39:00,True,2019-02-03 04:47:00,2,2019-02-03 04:44:00,False,Unknown,11.0,2019,2,3
2019-02-04 12:06:00,1028,Tina Atkins,0,31,686,7190.0,7,3,Birmingham,1,laptop,800,1200,4,Google-ads,2019-02-04 12:16:00,True,2019-02-04 12:26:00,0,2019-02-04 12:20:00,False,Unknown,14.0,2019,2,4
2019-02-05 05:58:00,1029,Sean Murphy,0,22,769,4562.0,8,1,San Diego,3,toaster,40,60,3,Twitter-ads,2019-02-05 06:17:00,True,2019-02-05 06:27:00,0,2019-02-05 06:19:00,False,Unknown,21.0,2019,2,5
2019-02-06 00:51:00,1030,Desiree Figueroa,0,39,695,7413.0,7,12,Edinburgh,4,action figure,8,15,3,E-mails,2019-02-06 01:01:00,True,2019-02-06 01:07:00,2,2019-02-06 01:06:00,False,Unknown,15.0,2019,2,6
2019-02-06 13:56:00,1031,Traci Oneill,1,20,759,5850.0,2,13,Yantai,4,puzzle,15,25,6,Billboard-QR code,2019-02-06 14:21:00,True,2019-02-06 14:27:00,2,2019-02-06 14:24:00,False,Unknown,28.0,2019,2,6
2019-02-06 18:24:00,1032,Steven Johnson,0,66,737,7470.0,1,10,Mississauga,1,laptop,800,1200,5,Google-ads,2019-02-06 18:34:00,True,2019-02-06 18:45:00,2,2019-02-06 18:37:00,False,Unknown,13.0,2019,2,6
2019-02-07 10:52:00,1033,Deborah Contreras,1,48,656,7164.0,1,10,Toronto,0,autobiography,20,35,4,Billboard-QR code,2019-02-07 11:13:00,True,2019-02-07 11:25:00,1,2019-02-07 11:16:00,False,Unknown,24.0,2019,2,7
2019-02-07 15:09:00,1034,Jonathan Smith,1,64,718,3286.8,6,0,Granada,3,mixer grinder,60,90,3,Twitter-ads,2019-02-07 15:28:00,True,2019-02-07 15:35:00,2,2019-02-07 15:32:00,False,Unknown,23.0,2019,2,7
2019-02-08 01:40:00,1035,Jason Powell,0,40,727,6789.0,6,2,Barcelona,3,electric stove,250,400,6,Google-ads,2019-02-08 01:53:00,True,2019-02-08 02:08:00,3,2019-02-08 01:56:00,False,Unknown,16.0,2019,2,8
2019-02-10 03:51:00,1036,Grant Forbes,0,30,628,4062.0,3,8,Pune,2,shoes,60,100,1,Instagram-ads,2019-02-10 04:04:00,False,,4,2019-02-10 04:06:00,Unknown,Unknown,15.0,2019,2,10
2019-02-10 17:01:00,1037,James Austin,1,69,728,7626.0,5,15,Yokohama,4,board game,20,35,4,Instagram-ads,2019-02-10 17:26:00,True,2019-02-10 17:35:00,2,2019-02-10 17:29:00,False,Unknown,28.0,2019,2,10
2019-02-10 20:52:00,1038,Joseph Frye,0,60,742,4969.0,1,11,Laval,0,autobiography,20,35,4,Twitter-ads,2019-02-10 21:01:00,True,2019-02-10 21:06:00,2,2019-02-10 21:03:00,True,Poor Value,11.0,2019,2,10
2019-02-11 04:44:00,1039,John Anderson,1,70,645,5642.0,6,0,Seville,4,action figure,8,15,2,Billboard-QR code,2019-02-11 05:09:00,True,2019-02-11 05:16:00,2,2019-02-11 05:14:00,False,Unknown,30.0,2019,2,11
2019-02-13 11:45:00,1040,Cynthia Thomas,1,35,619,6399.0,7,12,Edinburgh,2,t-shirt,15,25,4,Twitter-ads,2019-02-13 12:04:00,True,2019-02-13 12:16:00,1,2019-02-13 12:09:00,False,Unknown,24.0,2019,2,13
2019-02-16 14:20:00,1041,Mary Morris,0,52,638,7623.0,3,8,Mumbai,0,magazine,5,8,4,Google-ads,2019-02-16 14:41:00,True,2019-02-16 14:49:00,0,2019-02-16 14:45:00,False,Unknown,25.0,2019,2,16
2019-02-16 14:23:00,1042,Jessica Gross,0,46,673,4085.0,6,2,Tarragona,3,mixer grinder,60,90,4,Instagram-ads,2019-02-16 14:30:00,True,2019-02-16 14:39:00,1,2019-02-16 14:35:00,False,Unknown,12.0,2019,2,16
2019-02-16 20:36:00,1043,James Best,1,27,722,3368.0,2,13,Yantai,3,electric stove,250,400,6,Billboard-QR code,2019-02-16 20:41:00,True,2019-02-16 20:49:00,3,2019-02-16 20:44:00,True,Poor Quality,8.0,2019,2,16
2019-02-19 01:52:00,1044,Kyle Hill,1,65,653,3611.0,3,16,Kanpur,0,magazine,5,8,5,E-mails,2019-02-19 01:58:00,True,2019-02-19 02:12:00,2,2019-02-19 02:03:00,True,Poor Quality,11.0,2019,2,19
2019-02-19 17:04:00,1045,Tami Alexander,0,60,718,6745.0,3,8,Nagpur,4,board game,20,35,5,E-mails,2019-02-19 17:19:00,True,2019-02-19 17:27:00,2,2019-02-19 17:21:00,False,Unknown,17.0,2019,2,19
2019-02-22 01:19:00,1046,Justin Jackson,0,23,705,3286.8,6,0,Granada,1,television,1000,1500,6,Facebook-ads,2019-02-22 01:25:00,True,2019-02-22 01:36:00,2,2019-02-22 01:29:00,False,Unknown,10.0,2019,2,22
2019-02-22 08:56:00,1047,Monica Oneill,0,46,648,3612.0,2,13,Qingdao,4,board game,20,35,1,Google-ads,2019-02-22 09:12:00,True,2019-02-22 09:22:00,0,2019-02-22 09:14:00,False,Unknown,18.0,2019,2,22
2019-02-22 14:07:00,1048,Jonathan Mills,1,40,701,7364.0,5,5,Yokohama,2,jeans,40,70,4,Facebook-ads,2019-02-22 14:34:00,True,2019-02-22 14:47:00,3,2019-02-22 14:38:00,False,Unknown,31.0,2019,2,22
2019-02-24 07:43:00,1049,Michael White,0,38,703,3286.8,6,0,Seville,3,electric stove,250,400,2,Google-ads,2019-02-24 07:58:00,False,,4,2019-02-24 08:22:00,Unknown,Unknown,39.0,2019,2,24
2019-02-24 13:11:00,1050,Cynthia Roberts,0,63,624,7752.05,0,9,Newcastle,3,toaster,40,60,1,E-mails,2019-02-24 13:28:00,True,2019-02-24 13:38:00,0,2019-02-24 13:30:00,False,Unknown,19.0,2019,2,24
2019-02-25 10:59:00,1051,Roy Dominguez,1,49,769,7570.0,3,16,Kanpur,0,textbook,30,50,1,Instagram-ads,2019-02-25 11:07:00,True,2019-02-25 11:19:00,0,2019-02-25 11:09:00,False,Unknown,10.0,2019,2,25
2019-02-26 01:15:00,1052,Anthony Petty,1,38,769,3838.0,1,11,Montreal,4,plush toy,12,20,5,Facebook-ads,2019-02-26 01:33:00,True,2019-02-26 01:38:00,2,2019-02-26 01:35:00,True,Wrong Item,20.0,2019,2,26
2019-02-26 02:21:00,1053,Paul Johnson,0,42,758,5898.0,8,1,San Diego,4,puzzle,15,25,3,Instagram-ads,2019-02-26 02:44:00,False,,4,2019-02-26 03:01:00,Unknown,Unknown,40.0,2019,2,26
2019-02-26 21:12:00,1054,Logan Green,1,25,739,3286.8,0,9,Newcastle,4,action figure,8,15,4,E-mails,2019-02-26 21:33:00,True,2019-02-26 21:40:00,1,2019-02-26 21:36:00,False,Unknown,24.0,2019,2,26
2019-02-28 01:40:00,1055,Melissa Gutierrez,1,50,769,4163.0,0,9,Wollongong,1,laptop,800,1200,2,Instagram-ads,2019-02-28 02:07:00,True,2019-02-28 02:12:00,2,2019-02-28 02:10:00,False,Unknown,30.0,2019,2,28
2019-03-02 20:55:00,1056,Danielle Hamilton,1,58,611,4709.0,7,12,Edinburgh,2,t-shirt,15,25,4,Facebook-ads,2019-03-02 21:22:00,True,2019-03-02 21:37:00,0,2019-03-02 21:27:00,False,Unknown,32.0,2019,3,2
2019-03-03 12:59:00,1057,Victoria Mccullough,0,65,764,5070.0,1,10,Ottawa,3,mixer grinder,60,90,1,Google-ads,2019-03-03 13:16:00,False,,4,2019-03-03 13:16:00,Unknown,Unknown,17.0,2019,3,3
2019-03-03 15:24:00,1058,Melissa Perry,1,54,611,6666.0,4,6,Latina,4,puzzle,15,25,3,Billboard-QR code,2019-03-03 15:34:00,True,2019-03-03 15:42:00,1,2019-03-03 15:38:00,False,Unknown,14.0,2019,3,3
2019-03-05 13:56:00,1059,Madison Wong,1,33,760,6188.0,2,13,Jinan,2,shoes,60,100,3,Facebook-ads,2019-03-05 14:03:00,True,2019-03-05 14:08:00,2,2019-03-05 14:06:00,False,Unknown,10.0,2019,3,5
2019-03-05 23:56:00,1060,Laura Bowman,0,27,747,3489.0,4,7,Milan,1,television,1000,1500,2,Instagram-ads,2019-03-06 00:20:00,True,2019-03-06 00:35:00,2,2019-03-06 00:22:00,False,Unknown,26.0,2019,3,5
2019-03-06 06:33:00,1061,Harold Perez,1,67,633,7045.0,1,11,Montreal,3,electric stove,250,400,6,Google-ads,2019-03-06 07:02:00,True,2019-03-06 07:11:00,3,2019-03-06 07:07:00,False,Unknown,34.0,2019,3,6
2019-03-06 09:01:00,1062,Karen Torres,0,68,698,3498.0,6,0,Seville,4,plush toy,12,20,2,Instagram-ads,2019-03-06 09:11:00,True,2019-03-06 09:20:00,0,2019-03-06 09:13:00,False,Unknown,12.0,2019,3,6
2019-03-08 23:31:00,1063,James Coleman,1,34,624,5988.0,0,17,Ballarat,4,board game,20,35,4,Twitter-ads,2019-03-08 23:57:00,True,2019-03-09 00:03:00,2,2019-03-09 00:02:00,False,Unknown,31.0,2019,3,8
2019-03-10 01:00:00,1064,Kim Dawson,0,49,611,7068.0,0,17,Geelong,2,shoes,60,100,5,Billboard-QR code,2019-03-10 01:27:00,False,,4,2019-03-10 01:33:00,Unknown,Unknown,33.0,2019,3,10
2019-03-10 23:22:00,1065,Amy Lucas,0,48,630,3286.8,5,5,Yokohama,0,autobiography,20,35,4,Google-ads,2019-03-10 23:39:00,True,2019-03-10 23:48:00,0,2019-03-10 23:43:00,False,Unknown,21.0,2019,3,10
2019-03-12 17:11:00,1066,Samantha Brooks,0,47,630,6615.0,5,15,Yokohama,2,dress,50,80,5,Google-ads,2019-03-12 17:37:00,True,2019-03-12 17:47:00,2,2019-03-12 17:41:00,False,Unknown,30.0,2019,3,12
2019-03-13 03:20:00,1067,David Holmes,0,25,623,6209.0,5,15,Tokyo,2,jeans,40,70,2,Google-ads,2019-03-13 03:38:00,False,,4,2019-03-13 03:40:00,Unknown,Unknown,20.0,2019,3,13
2019-03-13 12:40:00,1068,Julie Baldwin,0,34,699,3843.0,2,4,Dongguan,3,electric stove,250,400,6,Billboard-QR code,2019-03-13 12:52:00,True,2019-03-13 13:06:00,1,2019-03-13 12:57:00,False,Unknown,17.0,2019,3,13
2019-03-14 14:43:00,1069,Seth Shelton,1,62,754,5940.0,3,8,Mumbai,0,novel,10,18,6,Instagram-ads,2019-03-14 14:59:00,True,2019-03-14 15:14:00,0,2019-03-14 15:02:00,False,Unknown,19.0,2019,3,14
2019-03-15 13:39:00,1070,Tyler Villarreal,0,22,755,6060.0,3,8,Nagpur,4,board game,20,35,6,Billboard-QR code,2019-03-15 14:02:00,True,2019-03-15 14:16:00,3,2019-03-15 14:04:00,True,Wrong Item,25.0,2019,3,15
2019-03-18 05:54:00,1071,Julie Morgan,0,66,715,7348.0,5,15,Tokyo,3,electric stove,250,400,4,Facebook-ads,2019-03-18 06:22:00,True,2019-03-18 06:37:00,2,2019-03-18 06:27:00,False,Unknown,33.0,2019,3,18
2019-03-20 01:19:00,1072,Wayne Reid,0,61,611,6496.0,3,8,Pune,3,microwave oven,300,500,3,E-mails,2019-03-20 01:33:00,True,2019-03-20 01:47:00,0,2019-03-20 01:35:00,False,Unknown,16.0,2019,3,20
2019-03-20 20:23:00,1073,Kathryn Brown,1,23,651,5262.0,4,7,Bergamo,3,microwave oven,300,500,5,Facebook-ads,2019-03-20 20:29:00,True,2019-03-20 20:34:00,2,2019-03-20 20:32:00,False,Unknown,9.0,2019,3,20
2019-03-20 21:52:00,1074,Crystal Jones,1,65,760,4541.0,3,8,Nagpur,4,board game,20,35,2,Instagram-ads,2019-03-20 22:04:00,True,2019-03-20 22:19:00,1,2019-03-20 22:09:00,False,Unknown,17.0,2019,3,20
2019-03-21 02:30:00,1075,Taylor Patterson,1,72,611,5576.0,1,10,Mississauga,4,action figure,8,15,4,Billboard-QR code,2019-03-21 02:57:00,True,2019-03-21 03:05:00,2,2019-03-21 02:59:00,False,Unknown,29.0,2019,3,21
2019-03-21 12:24:00,1076,Tanya Bell,0,28,747,6895.0,7,12,Edinburgh,0,autobiography,20,35,1,Twitter-ads,2019-03-21 12:52:00,True,2019-03-21 13:03:00,2,2019-03-21 12:57:00,False,Unknown,33.0,2019,3,21
2019-03-21 12:32:00,1077,Kelly Clark,1,51,624,3630.0,3,16,Kanpur,0,magazine,5,8,1,Facebook-ads,2019-03-21 12:44:00,True,2019-03-21 12:56:00,1,2019-03-21 12:49:00,True,Arrived Late,17.0,2019,3,21
2019-03-21 13:27:00,1078,Tanya Barnes,0,55,688,6813.0,0,9,Wollongong,0,novel,10,18,1,E-mails,2019-03-21 13:38:00,True,2019-03-21 13:46:00,2,2019-03-21 13:43:00,True,Arrived Damaged,16.0,2019,3,21
2019-03-22 02:05:00,1079,Michael Graham,0,69,719,5643.0,6,2,Tarragona,1,television,1000,1500,6,Instagram-ads,2019-03-22 02:16:00,True,2019-03-22 02:24:00,1,2019-03-22 02:19:00,False,Unknown,14.0,2019,3,22
2019-03-22 05:26:00,1080,Julia Hunter,0,42,672,7359.0,1,10,Mississauga,4,puzzle,15,25,1,Instagram-ads,2019-03-22 05:46:00,True,2019-03-22 05:59:00,2,2019-03-22 05:48:00,False,Unknown,22.0,2019,3,22
2019-03-23 00:37:00,1081,Antonio Lopez,0,44,639,6112.0,8,1,Los Angeles,2,t-shirt,15,25,4,Google-ads,2019-03-23 00:45:00,True,2019-03-23 00:59:00,1,2019-03-23 00:50:00,True,Wrong Item,13.0,2019,3,23
2019-03-24 06:00:00,1082,Jeanette Douglas,1,30,670,7297.0,7,12,Glasgow,1,laptop,800,1200,6,E-mails,2019-03-24 06:20:00,True,2019-03-24 06:27:00,1,2019-03-24 06:23:00,False,Unknown,23.0,2019,3,24
2019-03-25 13:18:00,1083,Kelly Lopez,0,58,656,4441.0,3,8,Nagpur,2,shoes,60,100,4,Facebook-ads,2019-03-25 13:37:00,True,2019-03-25 13:45:00,2,2019-03-25 13:40:00,False,Unknown,22.0,2019,3,25
2019-03-25 14:11:00,1084,Jennifer Conway,0,47,625,6592.0,6,2,Tarragona,0,novel,10,18,4,Facebook-ads,2019-03-25 14:19:00,True,2019-03-25 14:30:00,0,2019-03-25 14:21:00,False,Unknown,10.0,2019,3,25
2019-03-27 08:07:00,1085,Leon Cline,0,72,681,4233.0,8,1,San Diego,1,table fan,30,50,1,Twitter-ads,2019-03-27 08:27:00,True,2019-03-27 08:33:00,1,2019-03-27 08:32:00,False,Unknown,25.0,2019,3,27
2019-03-28 03:54:00,1086,Nicholas Johnston,0,19,753,4691.0,3,16,Kanpur,1,television,1000,1500,6,E-mails,2019-03-28 04:01:00,False,,4,2019-03-28 03:59:00,Unknown,Unknown,5.0,2019,3,28
2019-03-28 18:28:00,1087,Michael Ibarra,0,70,744,6770.0,4,7,Brescia,4,puzzle,15,25,6,Instagram-ads,2019-03-28 18:40:00,True,2019-03-28 18:45:00,2,2019-03-28 18:45:00,False,Unknown,17.0,2019,3,28
2019-03-29 15:51:00,1088,Jose Smith,1,66,698,5234.0,0,9,Newcastle,2,t-shirt,15,25,4,Instagram-ads,2019-03-29 16:09:00,True,2019-03-29 16:18:00,1,2019-03-29 16:13:00,False,Unknown,22.0,2019,3,29
2019-03-30 00:01:00,1089,Anthony Orr,0,48,634,6496.0,2,4,Guangzhou,3,mixer grinder,60,90,3,Google-ads,2019-03-30 00:16:00,True,2019-03-30 00:24:00,1,2019-03-30 00:19:00,True,Arrived Late,18.0,2019,3,30
2019-03-30 19:38:00,1090,Melissa Wilson,1,37,677,6276.0,8,14,Dallas,4,action figure,8,15,6,Twitter-ads,2019-03-30 20:01:00,True,2019-03-30 20:12:00,1,2019-03-30 20:05:00,False,Unknown,27.0,2019,3,30
2019-03-31 12:52:00,1091,Luis Macias,1,52,723,7752.05,3,16,Lucknow,2,jeans,40,70,6,Instagram-ads,2019-03-31 13:02:00,False,,4,2019-03-31 13:10:00,Unknown,Unknown,18.0,2019,3,31
2019-04-01 00:44:00,1092,Hannah Flynn,0,51,611,7073.0,3,8,Pune,0,textbook,30,50,3,Instagram-ads,2019-04-01 00:49:00,True,2019-04-01 00:57:00,3,2019-04-01 00:51:00,True,Arrived Damaged,7.0,2019,4,1
2019-04-01 21:12:00,1093,Lori Miller,0,66,769,4310.0,3,16,Kanpur,4,board game,20,35,6,Facebook-ads,2019-04-01 21:21:00,True,2019-04-01 21:35:00,2,2019-04-01 21:24:00,False,Unknown,12.0,2019,4,1
2019-04-01 22:57:00,1094,Seth Edwards,0,19,768,5673.0,4,7,Brescia,0,magazine,5,8,5,Instagram-ads,2019-04-01 23:06:00,True,2019-04-01 23:13:00,3,2019-04-01 23:11:00,False,Unknown,14.0,2019,4,1
2019-04-02 01:22:00,1095,Christopher Johnson,1,30,646,5498.0,2,13,Yantai,2,dress,50,80,6,Twitter-ads,2019-04-02 01:34:00,True,2019-04-02 01:47:00,0,2019-04-02 01:37:00,False,Unknown,15.0,2019,4,2
2019-04-03 06:21:00,1096,Tyrone Combs,0,26,761,5394.0,8,1,Los Angeles,3,electric stove,250,400,2,Twitter-ads,2019-04-03 06:48:00,True,2019-04-03 06:53:00,2,2019-04-03 06:53:00,False,Unknown,32.0,2019,4,3
2019-04-03 17:53:00,1097,Eric Cruz,0,22,742,3876.0,3,16,Ghaziabad,4,action figure,8,15,2,Google-ads,2019-04-03 18:17:00,False,,4,2019-04-03 18:31:00,Unknown,Unknown,38.0,2019,4,3
2019-04-04 23:52:00,1098,Kristen Cruz,0,28,663,7060.0,3,8,Nagpur,1,hair dryer,25,40,4,Facebook-ads,2019-04-05 00:05:00,False,,4,2019-04-05 00:03:00,Unknown,Unknown,11.0,2019,4,4
2019-04-05 11:51:00,1099,David Petty,0,35,704,4519.0,4,6,Latina,3,mixer grinder,60,90,4,E-mails,2019-04-05 11:58:00,True,2019-04-05 12:03:00,3,2019-04-05 12:02:00,True,Poor Quality,11.0,2019,4,5
2019-04-06 03:44:00,1100,Brett Lopez,1,27,655,5157.0,8,14,Dallas,2,jeans,40,70,3,Instagram-ads,2019-04-06 04:08:00,False,,4,2019-04-06 04:02:00,Unknown,Unknown,18.0,2019,4,6
2019-04-06 21:43:00,1101,Karen Stone,0,25,707,5949.0,7,12,Aberdeen,0,magazine,5,8,4,Twitter-ads,2019-04-06 22:08:00,True,2019-04-06 22:18:00,2,2019-04-06 22:12:00,False,Unknown,29.0,2019,4,6
2019-04-09 07:03:00,1102,Daniel Johnson,1,33,677,5535.0,3,16,Kanpur,4,action figure,8,15,3,Twitter-ads,2019-04-09 07:22:00,True,2019-04-09 07:37:00,1,2019-04-09 07:24:00,True,Arrived Late,21.0,2019,4,9
2019-04-09 23:35:00,1103,Jeremy Buchanan,1,59,625,3683.0,2,13,Yantai,2,t-shirt,15,25,3,Instagram-ads,2019-04-09 23:43:00,True,2019-04-09 23:53:00,2,2019-04-09 23:46:00,False,Unknown,11.0,2019,4,9
2019-04-11 02:34:00,1104,Kathryn Moss,1,35,708,6598.0,0,17,Geelong,2,shoes,60,100,5,Facebook-ads,2019-04-11 03:02:00,True,2019-04-11 03:07:00,1,2019-04-11 03:04:00,False,Unknown,30.0,2019,4,11
2019-04-13 11:10:00,1105,Ashley Bradley,1,45,675,3286.8,3,8,Pune,0,magazine,5,8,6,Billboard-QR code,2019-04-13 11:19:00,True,2019-04-13 11:27:00,1,2019-04-13 11:22:00,False,Unknown,12.0,2019,4,13
2019-04-13 14:56:00,1106,Heather Willis,1,48,739,6226.0,1,10,Mississauga,4,action figure,8,15,4,Facebook-ads,2019-04-13 15:10:00,True,2019-04-13 15:19:00,3,2019-04-13 15:13:00,True,Poor Quality,17.0,2019,4,13
2019-04-14 06:07:00,1107,Danielle Randall,0,66,665,7422.0,2,13,Qingdao,1,television,1000,1500,3,Billboard-QR code,2019-04-14 06:23:00,True,2019-04-14 06:35:00,0,2019-04-14 06:25:00,False,Unknown,18.0,2019,4,14
2019-04-15 14:25:00,1108,Yesenia Taylor,1,68,667,7542.0,0,9,Wollongong,0,magazine,5,8,6,Google-ads,2019-04-15 14:42:00,True,2019-04-15 14:48:00,1,2019-04-15 14:47:00,False,Unknown,22.0,2019,4,15
2019-04-15 18:08:00,1109,Megan Wilson,1,30,619,3756.0,1,10,Toronto,4,action figure,8,15,1,Billboard-QR code,2019-04-15 18:32:00,True,2019-04-15 18:38:00,2,2019-04-15 18:34:00,False,Unknown,26.0,2019,4,15
